#Frame        phi:121      psi:121
     689     -89.3894     -19.8899
     690     -88.4465      -7.8403
     691     -92.7526     -20.1896
     692    -144.2472       9.9658
     693    -128.5836     -25.1579
     694    -103.6390     -27.1479
     695     -88.1167     -19.5121
     696     -98.7479     -35.1137
     697    -101.2180       0.6571
     698    -100.2954     -24.8419
     699    -100.0270     -13.8989
     700    -109.9634      12.3260
     701    -112.6934       2.7131
     702    -106.7335     -21.0798
     703    -104.1704     -11.8640
     704     -97.8342     -24.2345
     705     -85.0998      -7.7925
     706    -101.4387     -14.6203
     707    -125.0433     -17.3718
     708     -76.1666       4.1753
     709    -111.2283       6.5149
     710    -105.0431     -15.4098
     711    -102.9207       0.6171
     712    -114.0496      -6.9083
     713     -99.2805      -9.9967
     714     -98.0667     -12.8063
     715    -119.7325      -9.7591
     716    -105.2177     -19.6545
     717    -105.9461     -16.2003
     718     -98.9134     -23.3598
     719    -129.0095      -6.1137
     720     -84.7067     -33.1784
     721    -131.3359       6.7551
     722     -90.2673     -16.7183
     723     -97.0340      -4.0233
     724     -95.1764      -9.1398
     725     -89.6713     -15.6247
     726    -100.1262       6.0524
     727     -99.0425      -3.8691
     728    -111.4137       3.4316
     729     -99.1414     -14.7187
     730     -91.0082     -14.5543
     731    -104.8285     -11.9235
     732    -117.8361      -4.4786
     733    -102.0869      -4.0073
     734    -104.8171       2.0233
     735    -133.6267      -6.1607
     736    -104.4467       0.0102
     737    -125.4962       2.1109
     738    -123.3320      -1.4539
     739    -106.9938      -3.2108
     740     -90.8341     -52.0930
     741    -100.0700      -9.6691
     742    -124.6166      32.3813
     743     -90.4921     -25.1909
     744    -100.4153     -28.1038
     745     -97.4377     -13.7684
     746    -105.8083     -16.5658
     747     -83.7316     -17.2388
     748    -104.5496     -35.5417
     749     -93.8780      -1.2815
     750     -75.1959     -40.7771
     751    -135.1044       3.6309
     752    -108.7536     -13.6606
     753     -90.3543     -21.6901
     754     -89.7498     -18.5784
     755    -107.2281     -38.3960
     756    -113.6574     -28.2261
     757    -107.4274     -19.3673
     758    -106.7546     -34.5213
     759     -91.9001     -23.7502
     760     -91.3423     -33.7088
     761     -84.5410     -12.3786
     762     -89.2372     -32.6817
     763     -85.6119     -41.8231
     764     -87.3322     -29.6768
     765    -112.8704     -27.8466
